"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","Bitte geben Sie Ihre UserID an.     Anleitung:1. Buchstabe des Vornamens1. Buchstabe des NachnamensTag – Monat – Jahr Ihres GeburtstagsAnfangsbuchstabe Ihres GeschlechtsBeispiel:Name: John SmithGeburtstag: 20.05.1980Geschlecht: Männlich--&gt; ID: J20S05M80 ","Was denken Sie, wie lange man solche Kommunikationen brauchen könnte? ","Welche Effekte könnte diese Kommunikation auf den Gesamtverkehr haben (Positive oder Negative)?","Was fanden Sie besonders gut an der Kommunikation der hochautomatisierten Fahrzeuge? Bitte geben Sie Feedback für die vier Szenarien.","Was fanden Sie nicht so gut an der Kommunikation? Haben Sie Verbesserungsvorschläge? Bitte geben Sie Feeback für die vier Szenarien.","Gesamtzeit","Gruppenzeit: Final","Fragenzeit: userID","Fragenzeit: durationUsing","Fragenzeit: effectsPosNeg","Fragenzeit: feedbackPositive","Fragenzeit: feedbackNegative"
"1","2022-12-05 16:38:11","1","de","1311748391","2022-12-05 16:35:54","2022-12-05 16:38:11","D17M09M99","für immer","eher positiv wenn keine fehler auftreten","wenn es ein automatisiertes fahrzeug war, konntem man sich darauf verlassen, dass es anhält","wenn das Fahrzeug vor einem anhält weiß man nicht dass man wieder paar Schritte zurück muss","137.14","137.14","","","","",""
"3","2022-12-05 17:05:23","1","de","2031595125","2022-12-05 17:01:43","2022-12-05 17:05:23","L04P05M00","Ich denke das System sollte dauerhaft verwendet werden.","Positiv: Die Intuition der Autos ist klar erkennbar und man kann sich dadurch sicher sein, was das Auto als nächstes machen wird
Negativ: Es war manchmal (vor allem am Anfang) etwas schwer zu erkennen ob der LED Steifen blinkt. Das hat Unsicherheit erzeugt.","Sie war eindeutig und leichet zu verstehen.","s. negativ bei der vor vorletzten frage","220.52","220.52","","","","",""
"4","2022-12-06 09:41:30","1","de","117247792","2022-12-06 09:33:40","2022-12-06 09:41:30","L01D12M94","Ohne Trennung von Fuß- und Auto(änhlichem)-Verkehr immer benötigt.","Falls Fußgänger an die Kommunikation gewöhnt sind: Mehr Sicherheit, Sicherheitsgefühl, Zeitersparnis (weniger Zögern).

Evtl. Unsicherheit & Zeitverzögerung bei Fahrzeugen ohne Kommunikaion, falls an Kommunikation gewöhnt.","Szenarien schwer zu unterscheiden.","Unklar ob Kommunikation vorhanden (wenn keine Kommunikation ersichtlich). Evtl könnten autonome Fahrzeuge auch color-coded sein, um zu erkennen, ob Kommunikation zu erwarten ist.
Ich kann erkennen, dass das Auto kommuniziert und erschließe aus dem Kontext, dass es mich wohl passieren lässt. Ohne kontext ist die Kommunnikation aber inhaltslos.","469.95","469.95","","","","",""
"5","2022-12-06 10:27:40","1","de","404286862","2022-12-06 10:22:42","2022-12-06 10:27:40","T28F01M98","Vermutlich immer. Abgesehen von Ampel etc. die den Verkehr regeln.
Evtl. gewöhnt man sich auch an Autos die ggf. keinen Fahrer haben, aber ich persönlich würde es bevorzugen, wenn es die Kommunikation immer gibt","+ Andere AVs oder Fahrzeuge halten ebenfalls und lassen einen Passanten über die Straße
+ Mehr Vertrauen in AVs
- Folgende Fahrzeuge, die nicht autonom sind könnten mit dem Bremsen nicht rechnen und es kommt zu Unfällen (Kommunikation erfolgt nur nach vorne)","Es ist klar, dass das AV mich gesehen hat und auf mich wartet oder eben nicht wartet. So oder so kenne ich den Zustand des Systems","Das Blinken war mir, warum auch immer, nicht immer sichtbar. Evtl. wäre eine Kommunikation an der Haube oder Windschutzscheibe passender, weil man eher auf diese Regionen am Fahrzeug achtet","298.23","298.23","","","","",""
"6","2022-12-06 13:02:10","1","de","438471763","2022-12-06 12:52:51","2022-12-06 13:02:10","J16B06M98","Für die Übergangsphase Mixed Traffic","Positiv: Sichereres Überqueren
Negativ: Trolling, Leute verlassen sich zu sehr auf die Anweisungen eines Fahrzeugs und missachten z.b. den Gegenverkehr","LEDs zur Identifikation der AVs ist gut, LED Streifen hilft zu erkennen, dass das AV mich erkannt hat","Potentielle Ambiguität bei mehreren Fußgängern. Ich weiß nur, dass das auto hält, aber nicht für wen","100.26","100.26","","","","",""
"7","2022-12-07 09:12:19","1","de","445468043","2022-12-07 09:09:19","2022-12-07 09:12:19","L04P05M00","Ich denke, dass diese Art der Kommunikation dauerhaft sinnvoll ist und nicht irgendwann wieder entfernt werden sollte.","EIgentlich nur positive. Ich finde es extrem Hilfreich wenn man stets weiß welche Absichten das Auto hat und es zu keinen Misverständnissen kommen kann.","Die Kommunikation war unmisverständlich und einfach, da es nur zwei ""Zustände"" gibt (Entweder das Auto hält, oder nicht)","Es wäre vllt. noch einfacherzu erkennen wenn sich die Farbe des Lichts ändern würde. (Vllt Rot für Halten und Grün für nicht halten)","180.91","180.91","","","","",""
"8","2022-12-07 10:06:38","1","de","869927550","2022-12-07 10:00:07","2022-12-07 10:06:38","030R09M98","Ich denke man wird diese Art von Kommunikation mindestens bis zur Zeit nach mixed traffic (zeit in welcher avs und mvs gemeinsam auf den straßen sind) benötigen. erst wenn es nur noch avs auf den straßen gibt und es einen geregelten umgang zur straßenüberquerung gibt, könnte es sein, dass diese kommunikation nicht mehr benötigt wird. ","in innerstädtichen umgebungen könnte es vermehrt zu staus kommen, wenn die avs alle 5m für eine person anhalten müssen und mit ihr kommunizieren muss. 
allerdings würde die sicherheit (und das gefühl der sicherheit) der passanten dadurch erhöht. ","","es wäre interessant, wenn die avs auch den gegenverkehr einbeziehen und evtl erst rot anzeigen wenn ein auto auf der anderen spur entgegen kommt und wenn es sicher ist, wird angezeigt dass man rüber gehen kann.
auch wäre es interessant, wenn die fahrzeuge evtl mit AR einen designierten pfad auf die straße projizieren würden (welcher erst grün erscheint wenn es auch sicher ist) ","391.83","391.83","","","","",""
"9","2022-12-07 12:18:25","1","de","673439257","2022-12-07 12:14:42","2022-12-07 12:18:25","J16B06M98","So lange es Mixed Traffic gibt bis hin zu nur AVs auf den Straßen","Fußgänger könnten Anhalten für selbstverständlich nehmen, da AVs anhalten müssen. Personen stehen länger z.B. auf der ersten Fahrbahn, obwohl der Gegenverkehr noch nicht angehalten hat","Der LED Streifen an der Windschutzscheibe macht es leicht autonome Fahrzeuge von nicht-autonomen zu unterscheiden. Dadurch wusste ich, ob ein Auto halten wird oder nicht. Der blinkende LED Streifen an der Stoßstange macht es mir leichter zu erkennen, dass ein Fahrzeug halten wird.","Die Autos sind teilweise sehr knapp vor mir angehalten, sodass ich einen Schritt zur Seite machen musste. Dadurch hatte ich weniger Vertrauen in das System","223.62","223.62","","","","",""
"10","2022-12-07 13:55:56","1","de","14104291","2022-12-07 13:50:35","2022-12-07 13:55:56","L01D12M94","immer, solange Fuß und Automobilverkehr nicht komplett getrennt sind","die wahrgenommene Sicherheit von Fußgängern steigt.
positivere Wahrnehmung von autonohmeren Fahrzeugen","Kommunikation wichtig, da ich wissen muss ob mich das Fahrzeug als Fußgänger wahrnimmt oder nur als Hindernis.
Etwas unklar, ob mich die Kommunikation zum passieen der Straße animieren soll oder andere Information ausdrücken will.
Aber immehin fühle ich mich wahrgenommen.","Die Kommunikation am Kühlergrill signalisiert zwar, dass man als queren wollender Fußgänger erkannt wurde. Jedoch ist mMn nicht direkkt ersichtlich, ob das Auto mit der Kommunikation zum queren animieren will.","321.81","321.81","","","","",""
"11","2022-12-07 16:32:50","1","de","2109374830","2022-12-07 16:25:09","2022-12-07 16:32:50","A27S01W99","Für die nächsten Jahrzehnte","Positiv
-  Fußgänger fühlen sich sicherer
-  Ampeln und Zebrastreifen werden überflüssig

Negativ
- Unerwartete Wartezeiten
- Mehr Unfälle, da unvorhersehbare Behinderung für andere Autofahrer","- Sicherheit durch den LED-Streifen und Bremsvorgang
- Leicht zu erkennen, dass keine Gefahr besteht
- Auto wartet, bis Fußgänger vollständig überquert hat","Nichts","461.65","461.65","","","","",""
